iteration	errD	errG	D_x	D_G_z1	D_G_z2
499	1.07489	2.47789	0.59592	0.26787	0.16706
500	1.09788	2.85317	0.73255	0.4174	0.10889
501	0.91823	3.81233	0.76222	0.38853	0.05989
502	0.97126	3.27632	0.60162	0.21937	0.07149
503	1.07212	2.99961	0.68239	0.35701	0.07116
504	1.0331	3.70519	0.72947	0.41711	0.04702
505	1.38661	3.05379	0.50852	0.29246	0.08565
506	1.37968	2.92829	0.56916	0.39929	0.07416
507	1.21376	3.64382	0.6489	0.42923	0.04433
508	1.19746	3.23693	0.54849	0.29041	0.05575
509	0.91011	3.47081	0.6952	0.30982	0.0457
510	0.80613	3.74599	0.74523	0.32009	0.03688
511	0.91984	2.41416	0.5961	0.18729	0.09382
512	0.94958	2.82577	0.679	0.32918	0.06848
513	0.99173	2.75908	0.61427	0.27182	0.08019
